iter	Passed	Remaining
0	8	8355
1	16	8352
2	25	8389
3	34	8557
4	42	8467
5	51	8513
6	60	8616
7	68	8500
8	77	8573
9	85	8480
10	95	8590
11	104	8590
12	112	8542
13	121	8548
14	130	8593
15	140	8629
16	148	8574
17	156	8519
18	163	8465
19	172	8432
20	179	8372
21	186	8296
22	194	8249
23	202	8215
24	209	8172
25	216	8120
26	224	8078
27	232	8088
28	242	8128
29	253	8190
30	261	8177
31	269	8158
32	277	8140
33	286	8142
34	296	8171
35	304	8140
36	311	8109
37	319	8091
38	326	8043
39	332	7984
40	339	7935
41	345	7889
42	353	7857
43	360	7829
44	367	7792
45	374	7765
46	381	7735
47	388	7707
48	395	7683
49	402	7656
50	410	7635
51	418	7629
52	425	7605
53	433	7597
54	440	7574
55	448	7555
56	455	7541
57	464	7540
58	472	7530
59	479	7509
60	486	7491
61	494	7478
62	501	7457
63	508	7442
64	517	7437
65	525	7432
66	532	7415
67	539	7399
68	547	7383
69	554	7364
70	561	7346
71	569	7334
72	576	7315
73	583	7296
74	590	7282
75	598	7275
76	606	7268
77	614	7257
78	621	7244
79	631	7258
80	642	7288
81	652	7308
82	662	7316
83	673	7348
84	686	7389
85	700	7444
86	710	7459
87	721	7473
88	729	7468
89	740	7484
90	750	7491
91	761	7512
92	771	7520
93	780	7521
94	789	7517
95	798	7523
96	808	7530
97	817	7526
98	827	7534
99	838	7548
100	848	7549
101	858	7556
102	881	7676
103	905	7797
104	923	7872
105	945	7978
106	956	7985
107	969	8009
108	978	7995
109	987	7990
110	998	7999
111	1009	8000
112	1019	8004
113	1030	8006
114	1040	8003
115	1050	8003
116	1059	7994
117	1069	7996
118	1082	8011
119	1092	8012
120	1103	8013
121	1112	8007
122	1122	8001
123	1131	7991
124	1140	7985
125	1149	7975
126	1159	7969
127	1168	7961
128	1177	7953
129	1186	7940
130	1195	7931
131	1204	7921
132	1214	7916
133	1225	7918
134	1234	7908
135	1242	7896
136	1251	7886
137	1261	7878
138	1270	7867
139	1280	7863
140	1291	7866
141	1300	7858
142	1308	7842
143	1319	7845
144	1331	7853
145	1340	7838
146	1349	7830
147	1358	7821
148	1369	7821
149	1379	7814
150	1387	7801
151	1396	7788
152	1404	7776
153	1413	7766
154	1422	7757
155	1432	7748
156	1441	7738
157	1449	7724
158	1458	7715
159	1469	7713
160	1479	7709
161	1488	7700
162	1500	7702
163	1509	7693
164	1517	7678
165	1527	7673
166	1535	7659
167	1544	7647
168	1552	7635
169	1562	7626
170	1570	7615
171	1579	7604
172	1588	7592
173	1596	7577
174	1605	7566
175	1614	7560
176	1626	7561
177	1635	7551
178	1643	7537
179	1653	7534
180	1663	7527
181	1672	7517
182	1681	7507
183	1690	7498
184	1700	7492
185	1711	7488
186	1720	7480
187	1730	7474
188	1740	7468
189	1753	7475
190	1764	7471
191	1774	7467
192	1785	7466
193	1795	7458
194	1804	7449
195	1814	7444
196	1823	7434
197	1833	7427
198	1842	7417
199	1851	7406
200	1860	7397
201	1870	7389
202	1878	7376
203	1888	7367
204	1896	7356
205	1905	7343
206	1913	7331
207	1921	7316
208	1930	7305
209	1939	7297
210	1948	7285
211	1957	7276
212	1968	7273
213	1977	7262
214	1986	7251
215	1995	7242
216	2003	7228
217	2011	7215
218	2021	7207
219	2030	7200
220	2039	7188
221	2047	7177
222	2058	7170
223	2068	7165
224	2077	7157
225	2085	7142
226	2092	7127
227	2100	7113
228	2108	7099
229	2116	7086
230	2124	7071
231	2133	7061
232	2141	7048
233	2148	7034
234	2156	7021
235	2164	7007
236	2173	6997
237	2185	6998
238	2194	6986
239	2203	6977
240	2212	6967
241	2220	6955
242	2229	6944
243	2238	6935
244	2245	6921
245	2253	6907
246	2261	6893
247	2269	6882
248	2279	6875
249	2289	6869
250	2298	6858
251	2306	6846
252	2316	6840
253	2325	6830
254	2333	6818
255	2341	6805
256	2349	6791
257	2358	6782
258	2367	6772
259	2377	6767
260	2389	6764
261	2398	6756
262	2406	6743
263	2414	6732
264	2423	6722
265	2431	6710
266	2440	6700
267	2448	6687
268	2455	6673
269	2463	6660
270	2471	6648
271	2478	6634
272	2486	6621
273	2494	6608
274	2501	6595
275	2509	6581
276	2516	6568
277	2524	6555
278	2531	6542
279	2539	6529
280	2547	6518
281	2555	6505
282	2562	6492
283	2569	6478
284	2577	6466
285	2585	6453
286	2592	6441
287	2600	6429
288	2607	6414
289	2615	6403
290	2623	6391
291	2630	6378
292	2638	6367
293	2646	6355
294	2654	6343
295	2662	6331
296	2669	6319
297	2676	6305
298	2684	6293
299	2692	6282
300	2701	6272
301	2708	6261
302	2717	6250
303	2725	6239
304	2733	6229
305	2742	6219
306	2749	6207
307	2757	6195
308	2765	6183
309	2773	6172
310	2781	6162
311	2789	6151
312	2797	6139
313	2804	6127
314	2812	6116
315	2820	6104
316	2829	6095
317	2838	6087
318	2846	6076
319	2854	6066
320	2862	6054
321	2869	6041
322	2876	6029
323	2885	6019
324	2892	6008
325	2900	5997
326	2908	5986
327	2916	5974
328	2924	5964
329	2932	5953
330	2940	5943
331	2948	5932
332	2956	5922
333	2964	5911
334	2972	5901
335	2980	5890
336	2988	5879
337	2996	5869
338	3006	5861
339	3014	5850
340	3022	5840
341	3029	5829
342	3037	5818
343	3045	5808
344	3053	5797
345	3061	5786
346	3069	5775
347	3077	5764
348	3085	5756
349	3093	5745
350	3101	5733
351	3108	5722
352	3116	5711
353	3124	5701
354	3131	5690
355	3139	5679
356	3147	5668
357	3154	5657
358	3162	5646
359	3169	5634
360	3177	5624
361	3184	5612
362	3191	5601
363	3199	5590
364	3207	5579
365	3214	5568
366	3221	5556
367	3229	5545
368	3237	5535
369	3244	5525
370	3252	5515
371	3260	5503
372	3267	5492
373	3274	5480
374	3282	5470
375	3289	5458
376	3296	5447
377	3303	5436
