iter	MultiClass
0	1.077980244
1	1.059732912
2	1.043306257
3	1.030467692
4	1.017454344
5	1.007133339
6	0.9982289656
7	0.9877162039
8	0.9809882983
9	0.9747053265
10	0.9689375065
11	0.9642478367
12	0.9603954609
13	0.9564343062
14	0.9530658925
15	0.9491856831
16	0.945875355
17	0.9424910856
18	0.9405185639
19	0.9376094078
20	0.9355716814
21	0.9328727193
22	0.9292833891
23	0.9272726509
24	0.9251943989
25	0.923756986
26	0.9220505932
27	0.9204951115
28	0.9177182804
29	0.916245853
30	0.9149809824
31	0.9132994418
32	0.9118670667
33	0.9105243788
34	0.9091198089
35	0.9082102806
36	0.9067646526
37	0.9056374341
38	0.9041802691
39	0.9029532267
40	0.9019093343
41	0.901310252
42	0.9000165649
43	0.8992049016
44	0.8986634751
45	0.8970953292
46	0.8960651491
47	0.8947037956
48	0.8937090995
49	0.892982494
50	0.8916681919
51	0.8908518586
52	0.8899586327
53	0.8893713024
54	0.8880467223
55	0.8867771983
56	0.8854364967
57	0.8840206951
58	0.8832887896
59	0.8817297097
60	0.8804258837
61	0.8794887929
62	0.8782999176
63	0.8773342484
64	0.8763472651
65	0.8752009358
66	0.8742689208
67	0.8729668664
68	0.87183159
69	0.8711890944
70	0.8704626245
71	0.8693528632
72	0.8680567611
73	0.8673100341
74	0.8661356946
75	0.8648821395
76	0.8640588297
77	0.8634302657
78	0.862478932
79	0.8616337566
80	0.8610491168
81	0.8603415774
82	0.8597495733
83	0.858954679
84	0.8579976899
85	0.8568569324
86	0.8555464565
87	0.8548969733
88	0.853820337
89	0.8532291602
90	0.8515323211
91	0.8504404479
92	0.8496537772
93	0.8487129289
94	0.8479664555
95	0.8468065719
96	0.8459226373
97	0.8453438212
98	0.8443129971
99	0.8434010475
100	0.8423978891
101	0.8418272473
102	0.841114098
103	0.8403063632
104	0.8394026333
105	0.8381763553
106	0.8373183966
107	0.8366134459
108	0.836051614
109	0.835462786
110	0.8347289075
111	0.8334785818
112	0.8326791093
113	0.8319063381
114	0.8310358456
115	0.830230917
116	0.8291908607
117	0.8282665126
118	0.8268951522
119	0.824725154
120	0.8239560821
121	0.8221553173
122	0.8215262908
123	0.8206200688
124	0.8198030845
125	0.8189217742
126	0.8179128432
127	0.8162572803
128	0.8156724867
129	0.8150999326
130	0.8144692967
131	0.8137037561
132	0.812760747
133	0.811631043
134	0.8106477207
135	0.8099293157
136	0.8085960898
137	0.8077610573
138	0.8061939767
139	0.8052216927
140	0.8042615071
141	0.803344162
142	0.8024315009
143	0.8016982621
144	0.8007995319
145	0.8002205097
146	0.7991201087
147	0.7985057533
148	0.7977922098
149	0.7962511624
150	0.794768861
151	0.7941665592
152	0.7931479806
153	0.7920971482
154	0.7916667491
155	0.7907323518
156	0.790357146
157	0.7895777765
158	0.7889625045
159	0.7879260765
160	0.787127399
161	0.7861217148
162	0.7853302697
163	0.7847205989
164	0.7838316508
165	0.7834957238
