iter	Passed	Remaining
0	9	9556
1	17	8898
2	24	8186
3	31	7863
4	37	7528
5	43	7159
6	49	6952
7	55	6861
8	62	6912
9	68	6783
10	74	6669
11	81	6676
12	87	6613
13	93	6583
14	100	6588
15	108	6675
16	115	6703
17	124	6792
18	130	6761
19	137	6757
20	144	6716
21	149	6635
22	154	6579
23	160	6538
24	165	6465
25	171	6416
26	177	6388
27	182	6331
28	187	6285
29	193	6250
30	199	6222
31	204	6184
32	210	6161
33	217	6168
34	222	6128
35	227	6104
36	233	6086
37	238	6048
38	244	6034
39	250	6018
40	255	5987
41	261	5957
42	266	5941
43	272	5909
44	278	5900
45	283	5882
46	289	5860
47	294	5834
48	300	5824
49	305	5805
50	310	5785
51	316	5777
52	322	5770
53	328	5759
54	334	5748
55	341	5753
56	348	5760
57	354	5750
58	361	5758
59	367	5759
60	375	5777
61	381	5778
62	388	5781
63	394	5772
64	402	5782
65	409	5797
66	418	5830
67	426	5843
68	436	5889
69	444	5904
70	450	5889
71	457	5890
72	465	5906
73	472	5917
74	481	5938
75	487	5931
76	495	5935
77	501	5933
78	507	5915
79	514	5914
80	523	5944
81	532	5960
82	540	5973
83	548	5985
84	557	5996
85	565	6010
86	573	6021
87	580	6014
88	587	6012
89	594	6011
90	601	6006
91	607	5994
92	616	6009
93	624	6018
94	634	6042
95	642	6051
96	649	6050
97	655	6034
98	663	6036
99	670	6035
100	679	6050
101	689	6068
102	697	6074
103	704	6066
104	711	6063
105	745	6286
106	766	6397
107	778	6427
108	785	6423
109	794	6430
110	803	6431
111	812	6442
112	820	6441
113	826	6421
114	850	6545
115	857	6538
116	865	6532
117	872	6524
118	880	6519
119	892	6541
120	902	6553
121	910	6551
122	918	6547
123	925	6537
124	932	6525
125	939	6513
126	947	6509
127	954	6502
128	962	6499
129	969	6489
130	978	6491
131	984	6476
132	992	6467
133	1000	6462
134	1007	6458
135	1015	6450
136	1023	6444
137	1031	6446
138	1041	6451
139	1049	6443
140	1055	6432
141	1063	6425
142	1070	6417
143	1078	6413
144	1088	6417
145	1099	6433
146	1113	6459
147	1125	6480
148	1136	6493
149	1149	6515
150	1161	6529
151	1173	6548
152	1183	6552
153	1191	6547
154	1200	6546
155	1209	6546
156	1217	6534
157	1224	6524
158	1230	6509
159	1239	6507
160	1247	6501
161	1254	6488
162	1263	6487
163	1271	6482
164	1281	6483
165	1289	6480
166	1299	6480
167	1307	6477
168	1316	6474
169	1325	6470
170	1335	6472
171	1342	6464
172	1351	6462
173	1359	6452
174	1367	6446
175	1376	6443
176	1385	6442
177	1394	6438
178	1401	6429
179	1410	6424
180	1419	6423
181	1428	6422
182	1436	6415
183	1445	6409
184	1454	6407
185	1462	6402
186	1471	6398
187	1479	6392
188	1489	6389
189	1498	6390
190	1507	6385
191	1516	6384
192	1525	6378
193	1535	6377
194	1544	6374
195	1552	6370
196	1562	6367
197	1571	6364
198	1580	6360
199	1589	6358
200	1598	6352
201	1606	6345
202	1615	6341
203	1624	6340
204	1633	6336
205	1642	6332
206	1652	6330
207	1662	6331
208	1669	6320
209	1680	6321
210	1688	6312
211	1695	6300
212	1702	6291
213	1709	6279
214	1716	6267
215	1723	6255
216	1731	6246
217	1738	6236
218	1745	6224
219	1753	6216
220	1761	6207
221	1769	6202
222	1778	6195
223	1785	6186
224	1793	6178
225	1801	6171
226	1810	6165
227	1819	6160
228	1829	6158
229	1838	6153
230	1845	6143
231	1854	6139
232	1863	6133
233	1871	6127
234	1879	6119
235	1887	6111
236	1897	6107
237	1905	6102
238	1915	6098
239	1924	6092
240	1932	6085
241	1940	6078
242	1948	6071
243	1958	6067
244	1966	6059
245	1974	6051
246	1982	6043
247	1990	6035
248	1998	6028
249	2007	6023
250	2018	6022
251	2027	6019
252	2036	6014
253	2046	6009
254	2054	6002
255	2064	5999
256	2073	5995
257	2089	6009
258	2098	6003
259	2107	5998
260	2115	5989
261	2121	5977
262	2128	5965
263	2135	5952
264	2142	5942
265	2148	5929
266	2156	5919
267	2163	5909
268	2170	5897
269	2175	5882
270	2182	5869
271	2188	5858
272	2194	5844
273	2201	5834
274	2208	5821
275	2214	5809
276	2220	5796
277	2227	5785
278	2234	5775
279	2241	5763
280	2247	5750
281	2255	5741
282	2262	5732
283	2270	5725
284	2277	5714
285	2282	5699
286	2289	5686
287	2296	5677
288	2303	5666
289	2310	5657
290	2318	5647
291	2325	5638
292	2332	5629
293	2340	5620
294	2347	5610
295	2355	5601
296	2362	5591
297	2369	5582
298	2377	5572
299	2383	5562
300	2390	5552
301	2398	5543
302	2405	5533
303	2411	5522
304	2418	5511
305	2426	5503
306	2434	5495
307	2441	5485
308	2449	5477
309	2457	5470
310	2466	5464
311	2475	5458
312	2482	5449
313	2490	5440
314	2497	5431
315	2504	5421
316	2512	5412
317	2519	5403
318	2527	5396
319	2535	5388
320	2544	5381
321	2551	5372
322	2559	5365
323	2566	5354
324	2573	5345
325	2581	5336
326	2587	5325
327	2593	5313
328	2599	5302
329	2607	5294
330	2614	5284
331	2622	5275
332	2629	5266
333	2636	5257
334	2643	5248
335	2651	5238
336	2659	5232
337	2668	5225
338	2676	5217
339	2684	5210
340	2692	5202
341	2699	5193
342	2706	5184
343	2713	5175
344	2721	5166
345	2727	5154
346	2734	5145
347	2740	5133
348	2747	5124
349	2753	5113
350	2760	5103
351	2766	5093
352	2773	5083
353	2780	5074
354	2787	5064
355	2793	5053
356	2800	5043
357	2806	5033
358	2813	5022
359	2819	5013
360	2827	5004
361	2832	4992
362	2839	4982
363	2846	4973
364	2852	4963
365	2861	4956
366	2868	4948
367	2877	4941
368	2883	4931
369	2891	4923
370	2897	4911
371	2903	4902
372	2910	4892
373	2917	4883
374	2925	4875
375	2931	4864
376	2938	4855
377	2945	4846
378	2952	4838
379	2960	4829
380	2967	4821
381	2974	4812
382	2982	4804
383	2989	4795
384	2995	4785
385	3003	4776
386	3010	4769
387	3018	4760
388	3025	4751
389	3031	4741
390	3038	4732
391	3044	4722
392	3051	4712
393	3060	4706
394	3067	4698
395	3074	4690
396	3082	4681
397	3090	4674
398	3097	4665
399	3102	4654
400	3108	4643
401	3115	4634
402	3121	4623
403	3127	4613
404	3133	4603
405	3140	4594
406	3147	4585
407	3153	4575
408	3159	4565
409	3165	4555
410	3172	4545
411	3179	4537
412	3185	4527
413	3191	4517
414	3199	4509
415	3206	4500
416	3213	4492
417	3220	4483
418	3226	4473
419	3231	4463
420	3238	4453
421	3245	4445
422	3252	4436
423	3260	4428
424	3267	4420
425	3276	4414
426	3285	4408
427	3294	4403
428	3303	4396
429	3311	4389
430	3318	4381
431	3325	4372
432	3332	4363
433	3340	4356
434	3346	4347
435	3353	4338
436	3360	4329
437	3367	4320
438	3373	4310
439	3379	4301
440	3386	4292
441	3393	4284
442	3400	4275
443	3415	4277
444	3421	4267
445	3428	4258
446	3434	4249
447	3440	4239
448	3446	4229
449	3452	4220
450	3460	4212
451	3467	4203
452	3473	4194
453	3480	4186
454	3487	4177
455	3496	4170
456	3502	4161
457	3509	4153
458	3516	4144
459	3523	4135
460	3529	4126
461	3535	4117
462	3542	4108
463	3548	4099
464	3556	4091
465	3561	4081
466	3569	4073
467	3575	4064
468	3582	4055
469	3589	4047
470	3596	4039
471	3603	4030
472	3609	4021
473	3617	4014
474	3623	4005
475	3631	3997
476	3638	3989
477	3645	3981
478	3653	3973
479	3660	3965
480	3667	3956
481	3673	3948
482	3681	3940
483	3689	3933
484	3697	3925
485	3703	3917
486	3711	3909
487	3717	3900
488	3723	3890
489	3729	3881
490	3735	3872
491	3742	3864
492	3748	3854
493	3755	3846
494	3761	3837
495	3768	3828
496	3774	3820
497	3780	3811
498	3787	3802
499	3794	3794
500	3801	3786
501	3807	3776
502	3813	3767
503	3819	3759
504	3826	3750
505	3832	3741
506	3838	3732
507	3845	3724
508	3851	3715
509	3857	3706
510	3864	3697
511	3870	3689
512	3877	3680
513	3885	3673
514	3893	3666
515	3901	3659
516	3909	3652
517	3916	3643
518	3923	3635
